"ruleId","ruleType","fieldId","description","noticeSubtype","condition","expression","target","severity","context","contextNode","cvsStage"
"BR-BT-00198-4047","co_constraint","BT-198(BT-759)-LotResult","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4048","co_constraint","BT-198(BT-760)-LotResult","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4049","co_constraint","BT-198(BT-773)-Tender","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4050","co_constraint","BT-198(BT-88)-Procedure","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4292","co_constraint","BT-198(BT-1118)-NoticeResult","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4356","co_constraint","BT-198(BT-1561)-NoticeResult","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-4720","co_constraint","BT-198(BT-660)-LotResult","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-5102","co_constraint","BT-198(BT-541)-Lot-Weight","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-5103","co_constraint","BT-198(BT-541)-LotsGroup-Weight","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-5106","co_constraint","BT-198(BT-541)-Lot-Fixed","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-5107","co_constraint","BT-198(BT-541)-LotsGroup-Fixed","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-5110","co_constraint","BT-198(BT-541)-Lot-Threshold","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00198-5111","co_constraint","BT-198(BT-541)-LotsGroup-Threshold","Unpublished Access Date (BT-198) value must be between 2 days and 10 years after the Notice Dispatch Date (BT-05).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00262-0200","co_constraint","BT-262-Lot","If Reserved Procurement (BT-71) value is equal to 'Participation in the procedure is reserved to organisations pursuing a public service mission and fulfilling other relevant conditions in the legislation.', then Main Classification Code (BT-262) value must be equal to ('75121000','75122000','75123000','79622000','79624000','79625000','80110000','80300000','80420000','80430000','80511000','80520000','80590000','from 85000000 to 853230009','92500000','92600000','98133000','98133110').","NULL","Reserved Procurement (BT-71) value is equal to 'Participation in the procedure is reserved to organisations pursuing a public service mission and fulfilling other relevant conditions in the legislation.' and Main Commodity (BT-262-Lot) exists","NULL","all","ERROR","node","ND-LotProcurementScope","5"
"BR-BT-00262-0201","co_constraint","BT-262-Part","If Reserved Procurement (BT-71) value is equal to 'Participation in the procedure is reserved to organisations pursuing a public service mission and fulfilling other relevant conditions in the legislation.', then Main Classification Code (BT-262) value must be equal to ('75121000','75122000','75123000','79622000','79624000','79625000','80110000','80300000','80420000','80430000','80511000','80520000','80590000','from 85000000 to 853230009','92500000','92600000','98133000','98133110').","NULL","Reserved Procurement (BT-71) value is equal to 'Participation in the procedure is reserved to organisations pursuing a public service mission and fulfilling other relevant conditions in the legislation.' and Main Commodity (BT-262-Part) exists","NULL","all","ERROR","node","ND-PartProcurementScope","5"
"BR-BT-00262-0202","co_constraint","BT-262-Procedure","If Main Nature (BT-23) value is equal to 'Supplies' and Classification Type (BT-26) value is equal to 'CPV', then Main Classification Code (BT-262) value must start with (('0' to '3' or '40' to '44') or '48').","NULL","Procedure Main Nature (BT-23-Procedure) is of type Supplies and Main CPV (BT-262-Procedure) exists","NULL","all","ERROR","node","ND-ProcedureProcurementScope","5"
"BR-BT-00262-0203","co_constraint","BT-262-Lot","If Main Nature (BT-23) value is equal to 'Supplies' and Classification Type (BT-26) value is equal to 'CPV', then Main Classification Code (BT-262) value must start with (('0' to '3' or '40' to '44') or '48').","NULL","Procedure Main Nature (BT-23-Lot) is of type Supplies and Main CPV (BT-262-Lot) exists","NULL","all","ERROR","node","ND-LotProcurementScope","5"
"BR-BT-00262-0204","co_constraint","BT-262-Part","If Main Nature (BT-23) value is equal to 'Supplies' and Classification Type (BT-26) value is equal to 'CPV', then Main Classification Code (BT-262) value must start with (('0' to '3' or '40' to '44') or '48').","NULL","Procedure Main Nature (BT-23-Part) is of type Supplies and Main CPV (BT-262-Part) exists","NULL","all","ERROR","node","ND-PartProcurementScope","5"
"BR-BT-00262-0205","co_constraint","BT-262-Procedure","If Main Nature (BT-23) value is equal to 'Works' and Classification Type (BT-26) value is equal to 'CPV', then Main Classification Code (BT-262) value must start with '45'.","NULL","Procedure Main Nature (BT-23-Procedure) is of type works and Main CPV (BT-262-Procedure) exists","NULL","all","ERROR","node","ND-ProcedureProcurementScope","5"
"BR-BT-00262-0206","co_constraint","BT-262-Lot","If Main Nature (BT-23) value is equal to 'Works' and Classification Type (BT-26) value is equal to 'CPV', then Main Classification Code (BT-262) value must start with '45'.","NULL","Procedure Main Nature (BT-23-Lot) is of type works and Main CPV (BT-262-Lot) exists","NULL","all","ERROR","node","ND-LotProcurementScope","5"
"BR-BT-00262-0207","co_constraint","BT-262-Part","If Main Nature (BT-23) value is equal to 'Works' and Classification Type (BT-26) value is equal to 'CPV', then Main Classification Code (BT-262) value must start with '45'.","NULL","Procedure Main Nature (BT-23-Part) is of type works and Main CPV (BT-262-Part) exists","NULL","all","ERROR","node","ND-PartProcurementScope","5"
"BR-BT-00262-0208","co_constraint","BT-262-Procedure","If Main Nature (BT-23) value is equal to 'Services' and Classification Type (BT-26) value is equal to 'CPV', then Main Classification Code (BT-262) value must start with '49' to '98'.","NULL","Procedure Main Nature (BT-23-Procedure) is of type services and Main CPV (BT-262-Procedure) exists","NULL","all","ERROR","node","ND-ProcedureProcurementScope","5"
"BR-BT-00262-0209","co_constraint","BT-262-Lot","If Main Nature (BT-23) value is equal to 'Services' and Classification Type (BT-26) value is equal to 'CPV', then Main Classification Code (BT-262) value must start with '49' to '98'.","NULL","Procedure Main Nature (BT-23-Lot) is of type services and Main CPV (BT-262-Lot) exists","NULL","all","ERROR","node","ND-LotProcurementScope","5"
"BR-BT-00262-0210","co_constraint","BT-262-Part","If Main Nature (BT-23) value is equal to 'Services' and Classification Type (BT-26) value is equal to 'CPV', then Main Classification Code (BT-262) value must start with '49' to '98'.","NULL","Procedure Main Nature (BT-23-Part) is of type services and Main CPV (BT-262-Part) exists","NULL","all","ERROR","node","ND-PartProcurementScope","5"
"BR-BT-00262-0211","co_constraint","BT-262-Procedure","If Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU' and Buyer Legal Type (BT-11) value is equal to 'Organisation awarding a contract subsidised by a contracting authority' and Classification Type (BT-26) value is equal to 'CPV', then Main Classification Code (BT-262) value must start with '45'.","NULL","Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU' and Buyer Legal Type (BT-11) value is equal to 'Organisation awarding a contract subsidised by a contracting authority' and Classification Type (BT-26) value is equal to 'CPV'","NULL","all","ERROR","node","ND-ProcedureProcurementScope","5"
"BR-BT-00262-0212","co_constraint","BT-262-Lot","If Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU' and Buyer Legal Type (BT-11) value is equal to 'Organisation awarding a contract subsidised by a contracting authority' and Classification Type (BT-26) value is equal to 'CPV', then Main Classification Code (BT-262) value must start with '45'.","NULL","Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU' and Buyer Legal Type (BT-11) value is equal to 'Organisation awarding a contract subsidised by a contracting authority' and Classification Type (BT-26) value is equal to 'CPV'","NULL","all","ERROR","node","ND-LotProcurementScope","5"
"BR-BT-00262-0213","co_constraint","BT-262-Part","If Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU' and Buyer Legal Type (BT-11) value is equal to 'Organisation awarding a contract subsidised by a contracting authority' and Classification Type (BT-26) value is equal to 'CPV', then Main Classification Code (BT-262) value must start with '45'.","NULL","Procedure Legal Basis (BT-01) value is equal to 'Directive 2014/24/EU' and Buyer Legal Type (BT-11) value is equal to 'Organisation awarding a contract subsidised by a contracting authority' and Classification Type (BT-26) value is equal to 'CPV'","NULL","all","ERROR","node","ND-PartProcurementScope","5"
"BR-BT-00330-0100","co_constraint","BT-330-Procedure","Every Group Identifier used for the definition of the Group composition (BT-330-Procedure) must correspond to an existing Group of lots (BT-137-LotsGroup)","NULL","Group Identifier used for the definition of the Group composition (BT-330-Procedure) exists","NULL","all","ERROR","node","ND-LotDistribution","5"
"BR-BT-00536-0150","co_constraint","BT-536-Lot","Duration Start Date (BT-536) value must be earlier than Duration End Date (BT-537) value.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00536-0151","co_constraint","BT-536-Part","Duration Start Date (BT-536) value must be earlier than Duration End Date (BT-537) value.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00536-0152","co_constraint","BT-536-Lot","If Reserved Procurement (BT-71) value is equal to 'Participation in the procedure is reserved to organisations pursuing a public service mission and fulfilling other relevant conditions in the legislation.', then Duration Period (BT-36) value must be lower than or equal to '3 years' or Duration Start Date (BT-536) value must be earlier than Duration End Date (BT-537) value by three or less years.","NULL","Reserved Procurement (BT-71) value is equal to 'Participation in the procedure is reserved to organisations pursuing a public service mission and fulfilling other relevant conditions in the legislation.' and Duration Start date (BT-536-Lot) and End Date (BT-537-Lot) exist","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00536-0153","co_constraint","BT-536-Part","If Reserved Procurement (BT-71) value is equal to 'Participation in the procedure is reserved to organisations pursuing a public service mission and fulfilling other relevant conditions in the legislation.', then Duration Period (BT-36) value must be lower than or equal to '3 years' or Duration Start Date (BT-536) value must be earlier than Duration End Date (BT-537) value by three or less years.","NULL","Reserved Procurement (BT-71) value is equal to 'Participation in the procedure is reserved to organisations pursuing a public service mission and fulfilling other relevant conditions in the legislation.' and Duration Start date (BT-536-Part) and End Date (BT-537-Part) exist","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00538-0130","co_constraint","BT-538-Lot","If Form Type (BT-03) value is equal to 'Result', then Duration Code (BT-538) value must be different from 'Unknown'.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00539-0194","co_constraint","BT-539-Lot","All or none of the Award Criterion (BG-38) of a given Award Criteria (BG-707), shall have Award Criterion Number Weight (BT-5421) set to 'Order of importance'.","NULL","NULL","co_constraint","all","ERROR","node","ND-LotAwardCriteria","5"
"BR-BT-00539-0195","co_constraint","BT-539-LotsGroup","All or none of the Award Criterion (BG-38) of a given Award Criteria (BG-707), shall have Award Criterion Number Weight (BT-5421) set to 'Order of importance'.","NULL","NULL","co_constraint","all","ERROR","node","ND-LotsGroupAwardCriteria","5"
"BR-BT-00539-0196","co_constraint","BT-539-Lot","'Order of importance' associated numbers must be integers","NULL","Order of Importance (BT-541) is present","NULL","all","ERROR","node","ND-LotAwardCriteria","5"
"BR-BT-00539-0197","co_constraint","BT-539-Lot","All the 'Order of Importance' associated values must be lower or equal to the total number of occurrences","NULL","Order of Importance (BT-541) is present","NULL","all","ERROR","node","ND-LotAwardCriteria","5"
"BR-BT-00539-0200","co_constraint","BT-543-Lot","For each Award Criteria (BG-707), across all instances of Award Criterion (BG-38) containing an Award Criterion Number (BG-541) where Award Criterion Number Weight (BT-5421) value is equal to 'Weight (percentage, exact)', the sum of all Award Criterion Number (BT-541) values must be equal to 100.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00539-0201","co_constraint","BT-543-Lot","For each Award Criteria (BG-707), across all instances of Award Criterion (BG-38) containing an Award Criterion Number (BG-541) where Award Criterion Number Weight (BT-5421) value is equal to 'Weight (decimal, exact)', the sum of all Award Criterion Number (BT-541) values must be equal to 1.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00539-0202","co_constraint","BT-543-LotsGroup","For each Award Criteria (BG-707), across all instances of Award Criterion (BG-38) containing an Award Criterion Number (BG-541) where Award Criterion Number Weight (BT-5421) value is equal to 'Weight (percentage, exact)', the sum of all Award Criterion Number (BT-541) values must be equal to 100.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00539-0203","co_constraint","BT-543-LotsGroup","For each Award Criteria (BG-707), across all instances of Award Criterion (BG-38) containing an Award Criterion Number (BG-541) where Award Criterion Number Weight (BT-5421) value is equal to 'Weight (decimal, exact)', the sum of all Award Criterion Number (BT-541) values must be equal to 1.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00539-0204","co_constraint","BT-539-LotsGroup","'Order of importance' associated numbers must be integers","NULL","Order of Importance (BT-541) is present","NULL","all","ERROR","node","ND-LotsGroupAwardCriteria","5"
"BR-BT-00539-0205","co_constraint","BT-539-LotsGroup","All the 'Order of Importance' associated values must be lower or equal to the total number of occurrences","NULL","Order of Importance (BT-541) is present","NULL","all","ERROR","node","ND-LotsGroupAwardCriteria","5"
"BR-BT-00539-0206","co_constraint","BT-539-LotsGroup","the values associated to 'Order of Importance' must all differ one from the other","NULL","Order of Importance (BT-541) is present","NULL","all","ERROR","self","NULL","5"
"BR-BT-00540-0150","co_constraint","BT-540-Lot","Each Award Criterion (BG-38) that contains an Award Criterion Number (BG-541) where Award Criterion Number Weight (BT-5421) is not empty may contain at most one Award Criterion Number (BG-541) where Award Criterion Number Threshold (BT-5423) value is equal to 'Minimum score' and at most one Award Criterion Number (BG-541) where Award Criterion Number Threshold (BT-5423) value is equal to 'Maximum number of tenders passing'.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00540-0151","co_constraint","BT-540-LotsGroup","Each Award Criterion (BG-38) that contains an Award Criterion Number (BG-541) where Award Criterion Number Weight (BT-5421) is not empty may contain at most one Award Criterion Number (BG-541) where Award Criterion Number Threshold (BT-5423) value is equal to 'Minimum score' and at most one Award Criterion Number (BG-541) where Award Criterion Number Threshold (BT-5423) value is equal to 'Maximum number of tenders passing'.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00556-0100","co_constraint","BT-556-NoticeResult","Every Group Framework Value Lot Identifier (BT-556-NoticeResult) must point to an existing Group of lots (BT-137-LotsGroup)","NULL","NULL","co-constraint","all","ERROR","self","NULL","5"
"BR-BT-00630-0150","co_constraint","BT-630(d)-Lot","Deadline Receipt Expression (BT-630(d)-Lot) must be later than Notice Dispatch Date (BT-05(a)-notice)","NULL","Deadline Receipt Expression (BT-630(d)-Lot) and Notice Dispatch Date (BT-05(a)-notice) exist","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00631-0100","co_constraint","BT-631-Lot","Dispatch Invitation Interest (BT-631) value must be later than Deadline Receipt Expressions (BT-630).","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00634-0150","co_constraint","BT-634-Procedure","Procurement Relaunched (BT-634) value can be different than null only if (Winner Chosen (BT-142) value is equal to “No winner was chosen and the competition is closed.” or Change Reason Code (BT-140) is equal to “The notice (or its specific lot or part) is cancelled”)","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00634-0151","co_constraint","BT-634-Lot","Procurement Relaunched (BT-634) value can be different than null only if (Winner Chosen (BT-142) value is equal to “No winner was chosen and the competition is closed.” or Change Reason Code (BT-140) is equal to “The notice (or its specific lot or part) is cancelled”)","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00702-0150","co_constraint","BT-702(a)-notice","Notice Language (BT-702(a)-notice) must differ from any Notice additional language (BT-702(b)-notice)","NULL","Notice Additional Language (BT-702(b)-notice) exists","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00702-0151","co_constraint","BT-702(b)-notice","Any additional Notice Language (BT-702(b)-notice) must differ from the following Notice additional languages (BT-702(b)-notice)","NULL","Notice Additional Language (BT-702(b)-notice) exists","NULL","all","ERROR","self","NULL","5"
"BR-BT-00710-0100","co_constraint","BT-710-LotResult","Tender Value Lowest (BT-710) value must share a same currency with Tender Value Highest (BT-711) value.","NULL","Tender Value Lowest (BT-710-LotResult) and Tender Value Highest (BT-711-LotResult) exist","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00710-0101","co_constraint","BT-710-LotResult","Tender Value Lowest (BT-710) value must lower or equal to Tender Value Highest (BT-711) value.","NULL","Tender Value Lowest (BT-710-LotResult) and Tender Value Highest (BT-711-LotResult) exist","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00712-0150","co_constraint","BT-712(b)-LotResult","If Not Awarded Reason (BT-144) value is equal to 'Decision of the buyer following a tenderer s request to review the award', then Review Requests (BT-712) value must be greater than '0'.","NULL","Buyer Review Complainants (BT-712(b)-LotResult) exists","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00738-0053","co_constraint","BT-738-notice","Notice Preferred Publication Date (BT-738-notice) shall be between 2 and 60 days after the Notice Dispatch Date (BT-05-notice)","NULL","Notice Publication Date Preferred (BT-738) exists","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00740-0100","co_constraint","BT-740-Procedure-Buyer","If Procedure Legal Basis (BT-01) value is equal to ('Directive 2014/23/EU' or 'Directive 2009/81/EC') and Buyer Legal Type (BT-11) value is equal to ('Public undertaking' or 'Entity with special rights'), then Buyer Contracting Entity (BT-740) value must be equal to 'Yes'.","NULL","Procedure Legal Basis (BT-01) value is equal to ('Directive 2014/23/EU' or 'Directive 2009/81/EC') and Buyer Legal Type (BT-11) value is equal to ('Public undertaking' or 'Entity with special rights')","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00740-0101","co_constraint","BT-740-Procedure-Buyer","If Procedure Legal Basis (BT-01) value is equal to ('Directive 2014/23/EU' or 'Directive 2009/81/EC') and Buyer Legal Type (BT-11) value is equal to ('Organisation awarding a contract subsidised by a contracting authority' or 'International organisation' or 'Defense Contractor'), then Buyer Contracting Entity (BT-740) value must be equal to 'No'.","NULL","Procedure Legal Basis (BT-01) value is equal to ('Directive 2014/23/EU' or 'Directive 2009/81/EC') and Buyer Legal Type (BT-11) value is equal to ('Organisation awarding a contract subsidised by a contracting authority' or 'International organisation' or 'Defense Contractor')","NULL","all","ERROR","parent","NULL","5"
"BR-BT-00743-0100","co_constraint","BT-743-Lot","If Procedure Legal Basis (BT-01) value is different from 'Other', then Electronic Invoicing (BT-743) is equal to 'required'.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-00747-0100","co_constraint","BT-747-Lot","For all instances of Selection Criteria (BG-702) linked to the same lot, across all instances of Selection Criteria Second Stage Invite Number (BG-72) where Selection Criteria Second Stage Invite Number Weight (BT-7531) value is equal to 'Weight (percentage, exact)', the sum of all Selection Criteria Second Stage Invite Number (BT-752) values must be equal to 100.","NULL","NULL","co-constraint","all","ERROR","node","ND-NonUBLTenderingTerms","5"
"BR-BT-00747-0101","co_constraint","BT-747-Lot","For all instances of Selection Criteria (BG-702) linked to the same lot, across all instances of Selection Criteria Second Stage Invite Number (BG-72) where Selection Criteria Second Stage Invite Number Weight (BT-7531) value is equal to 'Weight (decimal, exact)', the sum of all Selection Criteria Second Stage Invite Number (BT-752) values must be equal to 1.","NULL","NULL","co-constraint","all","ERROR","node","ND-NonUBLTenderingTerms","5"
"BR-BT-00748-0100","co_constraint","BT-748-Lot","If Notice Type (BT-02) value is different from ('Prior information notice or a periodic indicative notice used as a call for competition – standard regime' and 'Prior information notice or a periodic indicative notice used as a call for competition – social regime' and 'Prior information notice or a periodic indicative notice used to shorten time limits for receipt of tenders'), then Selection Criteria Used (BT-748) must be different from 'Not yet known'.","NULL","NULL","co-constraint","all","ERROR","parent","NULL","5"
"BR-BT-01118-0100","co_constraint","BT-1118-NoticeResult","For any Result Notice without Group Framework Re-estimated Value (BT-1561), and for which all Framework Re-estimated Value (BT-660) share a same currency, the Notice Framework Approximate Value (BT-1118) value must be equal to the sum of Framework Re-estimated Value (BT-660)","NULL","Notice Framework Approximate Value (BT-1118) exists","NULL","all","ERROR","parent","NULL","5"
"BR-BT-01311-0150","co_constraint","BT-1311(d)-Lot","For a 'Dynamic purchasing system', the Deadline Receipt Requests (BT-1311) value must be equal to Duration End Date (BT-537) value","NULL","a DPS (BT-766-Lot), Duration End Date (BT-537-Lot) and Deadline Receipt Requests (BT-1311(d)-Lot) exist","NULL","all","ERROR","node","ND-LotTenderingProcess","5"
"BR-BT-01311-0152","co_constraint","BT-1311(d)-Lot","Deadline Receipt Requests (BT-1311) value must be later than Dispatch Invitation Tender (BT-130) value.","NULL","Deadline Receipt Requests (BT-1311(d)-Lot) and Dispatch Invitation Tender (BT-130-Lot) are present","NULL","all","ERROR","node","ND-LotTenderingProcess","5"
"BR-BT-01311-0153","co_constraint","BT-1311(d)-Lot","Additional Information Deadline (BT-13) value must be earlier or equal to Deadline Receipt Requests (BT-1311) value.","NULL","Additional Information Deadline (BT-13(d)-Lot) and Deadline Receipt Requests (BT-1311(d)-Lot) exist","NULL","all","ERROR","node","ND-LotTenderingProcess","5"
"BR-BT-01375-0100","co_constraint","BT-1375-Procedure","Group Lot Identifier (BT-1375) value must be equal to one of the values of Purpose Lot Identifier (BT-137) or 'EMPTY'.","NULL","NULL","co-constraint","all","ERROR","node","ND-GroupComposition","5"
"BR-BT-01375-0101","co_constraint","BT-1375-Procedure","Total number of Group Lot Identifier (BT-1375) value must be greater than '1'.","NULL","NULL","co-constraint","all","ERROR","node","ND-GroupComposition","5"
"BR-BT-01375-0102","co_constraint","BT-1375-Procedure","Every reference to a Lot from a Group of lots composition (BT-1375-Procedure) must point to an existing Lot (BT-137-Lot)","NULL","Group Lot Identifier (BT-1375-Procedure) exists","NULL","all","ERROR","node","ND-GroupComposition","5"
"BR-BT-01375-0103","co_constraint","BT-1375-Procedure","For all Communication (BG-100) that include Communication Lot Identifier (BT-13712) value that is equal to Group Lot Identifier (BT-1375) value, then there must be the same Dispatch Invitation Interest (BT-631) value.","NULL","Group Identifier (BT-330) exists","NULL","all","ERROR","node","ND-GroupComposition","5"
"BR-BT-01375-0104","co_constraint","BT-1375-Procedure","For all Communication (BG-100) that include Communication Lot Identifier (BT-13712) value that is equal to Group Lot Identifier (BT-1375) value, then there must be the same Dispatch Invitation Tender (BT-130) value.","NULL","Group Identifier (BT-330) exists","NULL","all","ERROR","node","ND-GroupComposition","5"
"BR-BT-01375-0105","co_constraint","BT-1375-Procedure","For all Submission Terms (BG-102) that include Submission Lot Identifier (BT-13719) value that is equal to Group Lot Identifier (BT-1375) value, then Deadline Receipt Expressions (BT-630) value must be identical.","NULL","Group Identifier (BT-330) exists","NULL","all","ERROR","node","ND-GroupComposition","5"
"BR-BT-01375-0106","co_constraint","BT-1375-Procedure","For all Submission Terms (BG-102) that include Submission Lot Identifier (BT-13719) value that is equal to Group Lot Identifier (BT-1375) value, then Deadline Receipt Expressions (BT-630) value must be identical.","NULL","Group Identifier (BT-330) exists","NULL","all","ERROR","node","ND-GroupComposition","5"
"BR-BT-01375-0107","co_constraint","BT-1375-Procedure","For all Submission Terms (BG-102) that include Submission Lot Identifier (BT-13719) value that is equal to Group Lot Identifier (BT-1375) value, then Deadline Receipt Requests (BT-1311) value must be identical.","NULL","Group Identifier (BT-330) exists","NULL","all","ERROR","node","ND-GroupComposition","5"
"BR-BT-01375-0108","co_constraint","BT-1375-Procedure","For all Submission Terms (BG-102) that include Submission Lot Identifier (BT-13719) value that is equal to Group Lot Identifier (BT-1375) value, then Deadline Receipt Requests (BT-1311) value must be identical.","NULL","Group Identifier (BT-330) exists","NULL","all","ERROR","node","ND-GroupComposition","5"
"BR-BT-01375-0109","co_constraint","BT-1375-Procedure","For all Submission Terms (BG-102) that include Submission Lot Identifier (BT-13719) value that is equal to Group Lot Identifier (BT-1375) value, then Deadline Receipt Tenders (BT-131) value must be identical.","NULL","Group Identifier (BT-330) exists","NULL","all","ERROR","node","ND-GroupComposition","5"
"BR-BT-01375-0110","co_constraint","BT-1375-Procedure","For all Submission Terms (BG-102) that include Submission Lot Identifier (BT-13719) value that is equal to Group Lot Identifier (BT-1375) value, then Deadline Receipt Tenders (BT-131) value must be identical.","NULL","Group Identifier (BT-330) exists","NULL","all","ERROR","node","ND-GroupComposition","5"
"BR-BT-01375-0111","co_constraint","BT-1375-Procedure","For all Submission Terms (BG-102) that include Submission Lot Identifier (BT-13719) value that is equal to Group Lot Identifier (BT-1375) value, then Opening Date (BT-132) value must be identical.","NULL","Group Identifier (BT-330) exists","NULL","all","ERROR","node","ND-GroupComposition","5"
"BR-BT-01375-0112","co_constraint","BT-1375-Procedure","For all Submission Terms (BG-102) that include Submission Lot Identifier (BT-13719) value that is equal to Group Lot Identifier (BT-1375) value, then Opening Date (BT-132) value must be identical.","NULL","Group Identifier (BT-330) exists","NULL","all","ERROR","node","ND-GroupComposition","5"
"BR-BT-01451-0100","co_constraint","BT-1451-Contract","The Winner decision (BT-1451-Contract) occurs before the Contract is settled (BT-145-Contract).","NULL","Winner Decision Date (BT-1451-Contract) and Contract Conclusion Date (BT-145-Contract) exist","NULL","all","ERROR","parent","NULL","5"
"BR-BT-01451-0101","co_constraint","BT-1451-Contract","The Winner decision (BT-1451-Contract) occurs before the notice is dispatched (BT-05(a)-notice).","NULL","Winner decision date (BT-1451-Contract) and notice dispatch date (BT-05(a)-notice) exist","NULL","all","ERROR","parent","NULL","5"
"BR-BT-01501-0106","co_constraint","BT-1501(s)-Contract","For a given Contract Modification, amongst all the internal references (BT-1501(s)-Contract), there is at least one to an existing contract","NULL","NULL","co-constraint","all","ERROR","node","ND-ContractModification","5"
"BR-BT-01501-0107","co_constraint","BT-1501(s)-Contract","For any Contract Modification, the contract references (i.e. BT-1501(s)-Contract like 'CON-xxxx') is unique in the notice (i.e. there is at most one contract modification referring to a given contract)","NULL","NULL","co-constraint","all","ERROR","node","ND-ContractModification","5"
"BR-BT-03202-0100","co_constraint","BT-3202-Contract","Every reference to a LotTender from a Contract (BT-3202-Contract) must point to an existing LotTender (OPT-321-Tender)","NULL","reference to a LotTender from a Contract (BT-3202-Contract) exists","NULL","all","ERROR","node","ND-SettledContract","5"
"BR-BT-05421-0250","co_constraint","BT-5421-Lot","For a DAP or Result notice, when Number weight exists, it must be: 'dec-exa', 'ord-imp', 'per-exa' or 'poi-exa'","NULL","Form Type (BT-03-notice) is Result, Contract Modification or Direct Award Pre-announcement and Award Criterion Number Weight (BT-5421-Lot) exists","NULL","all","ERROR","parent","NULL","5"
